Stadt;Ortsteil;Straße;Zone;Härtegrad;Natrium;Kalium;Calcium;Magnesium;Chlorid;Nitrat;Sulfat;Anmerkungen;Jahresmittelwerte;Quelle
Neckarsulm;Kernstadt;Falkenstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Felix-Wankel-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Finkenweg;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Friedrich-Ebert-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Frühmeßgasse;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Gottlieb-Daimler-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Gottlob-Banzhaf-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Grabenstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Hafenstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Hezenbergstr.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Im Vogelsang;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Kochendorfer Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Martin-Fischel-Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
Neckarsulm;Kernstadt;Neuenstädter Str.;Zone 1;12,9;6,7;1,3;68,7;14,2;;7;53;;;
